barName,barLicense,State of Residence,Hours of Op
DARKER THAN BLUE,BL302,IL,6AM--11PM
FANTASY CAFå,BL588,LA,7AM--12PM
CHARLOTTE'S,BL492,NH,7AM--12PM
BELVEDERE TOWERS CAFå,BL618,NY,9AM--12PM
COLONIAL INN,BL001,NE,6AM--11PM
CAZBAR,BL862,MS,10AM--11PM
BURGER KING #10294,BL542,IA,7AM--11PM
FLAMINGO  LOUNGE,BL604,CO,8AM--11PM
DEAD END SALOON,BL090,NE,7AM--12PM
BIRDS OF A FEATHER,BL800,AZ,6AM--12PM
3 MILES HOUSE  INC.,BL076,CA,6AM--12PM
GARDEN BEEF & BEER,BL972,AL,6AM--12PM
GARDEN RESTAURANT,BL772,MS,7AM--11PM
FREDERICK STATION SALOON,BL364,CO,9AM--12PM
CALIFORNIA PIZZA KITCHEN,BL032,OK,6AM--12PM
BILL'S LIGHTHOUSE INN,BL393,FL,8AM--11PM
BURGER KING # 13360,BL462,MS,8AM--11PM
EAGLE NEST,BL189,MS,8AM--11PM
COPRA,BL031,KS,8AM--12PM
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,BL105,MO,9AM--12PM
CAFå GIA,BL638,DE,10AM--11PM
CHUCK'S,BL564,CO,7AM--11PM
FOUL BALL BAR,BL193,AR,9AM--12PM
FIELDS RIB HOUSE,BL534,MD,8AM--11PM
BLUE SKY RESTAURANT,BL436,SD,9AM--12PM
FOODTOPIA,BL743,AR,7AM--11PM
BIG BAD WOLF'S HOUSE OF BARBEQUE,BL229,KS,9AM--12PM
CINCO DE MAYO,BL877,IL,8AM--12PM
BRUCE MCKELDIN CONSULTING  LLC,BL193,CO,8AM--12PM
DEAD FREDDIES,BL296,KS,10AM--11PM
DUDA'S TAVERN,BL480,KS,7AM--12PM
DREAMS INN,BL220,WV,7AM--11PM
DECADES SPORTS BAR,BL541,ME,10AM--11PM
crazy johns,BL716,DC,6AM--11PM
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,BL374,FL,10AM--12PM
GOLDEN KEY RESTAURANT,BL532,IA,8AM--11PM
CHRIS LIQUOR & GRILL,BL126,CO,6AM--12PM
CHINATOWN CAFå,BL140,AZ,7AM--11PM
CLUB HAREM,BL706,SD,7AM--12PM
G & A RESTAURANT,BL436,CA,10AM--11PM
CANTON'S PORTSIDE TAVERN,BL668,MA,6AM--12PM
ELLIOT'S POUR HOUSE,BL164,WY,7AM--12PM
EL RANCHO GRANDE,BL898,ME,7AM--12PM
BEDROCK,BL444,AZ,8AM--12PM
ANGELINA'S,BL722,MO,9AM--12PM
BLARNEY STONE INN,BL084,NY,6AM--12PM
CAFå AZAFRAN,BL364,NC,8AM--12PM
BLUE CRAB EXPRESS & CAFå INC.,BL515,AR,10AM--12PM
19TH HOLE,BL950,NE,7AM--12PM
CANTON STATION,BL810,ME,9AM--12PM
BALTIMORE BEVERAGE CO. -STARBUCKS,BL426,MO,8AM--12PM
EAT MUST BE FIRST,BL992,MO,8AM--11PM
ANNABEL LEE TAVERN,BL280,PA,9AM--12PM
CAZBAR,BL842,MO,8AM--11PM
COOKIE'S  CITY  LINE  DINER,BL090,DC,8AM--11PM
CHOW  MEIN CHARLIES  chinese food,BL491,SC,7AM--11PM
CINGHIALE,BL538,MN,8AM--11PM
BLUE SEA GRILL,BL215,AL,9AM--12PM
CLUB HOUSE BAR & GRILL,BL129,NV,9AM--12PM
ARAMARK FHC SPORTS (BAR 221),BL406,NH,9AM--12PM
BLACKTIE SERVICE  LLP,BL090,AL,10AM--11PM
B.G.'S PUB INCORPORATED,BL877,CA,8AM--11PM
CINGHIALE,BL622,null,6AM--12PM
3 KINGS,BL725,ME,9AM--11PM
BRASSERIE TATIN,BL810,KS,7AM--11PM
CHARLES & MADISON  LLC,BL675,WI,8AM--12PM
babalu grill,BL797,null,7AM--11PM
COSMOPOLITAN BAR & GRILL,BL382,KS,9AM--12PM
300 SOUTH ANN STREET,BL231,ME,8AM--12PM
AL-HO CLUB,BL914,SD,10AM--12PM
CATON HOUSE RESTAURANT,BL328,WV,9AM--11PM
ARAMARK FHC SPORTS (BAR 232),BL173,DC,8AM--11PM
ECLECTIC CAFå,BL877,AK,10AM--11PM
BUSTER'S PUB,BL946,WV,9AM--12PM
ARAMARK FHC SPORTS (BAR 210),BL461,NE,9AM--12PM
BALTIMORE ESTONIAN SOCIETY,BL460,IL,9AM--12PM
CHESAPEAKE BAY RESTAURANT,BL591,NE,9AM--12PM
3 KINGS,BL515,OR,7AM--12PM
CIAO BELLA RESTAURANT,BL872,null,9AM--12PM
DOMINO SUGAR CAFATERIA OPERATION # 65227,BL813,AZ,9AM--12PM
AMERICAN LEGION POST #187,BL876,CO,9AM--12PM
BUD PAOLINO'S RESTAURANT,BL868,SD,9AM--12PM
BIG BAD WOLF'S HOUSE OF BARBEQUE,BL062,CA,7AM--12PM
CERIELLO FINE FOODS,BL218,NY,8AM--11PM
BALTIMORE DELIGHT RESTAURANT,BL614,TN,7AM--12PM
BALTIMORE COUNTRY CLUB,BL460,WV,10AM--12PM
GIBSON'S,BL856,NH,7AM--12PM
GOLDEN KEY RESTAURANT,BL937,GA,7AM--11PM
CHARLESTON,BL797,NY,10AM--12PM
CITY LIMITS SPORTS BAR,BL062,NE,7AM--11PM
BYZANTIO CAFå,BL592,MD,10AM--12PM
FISHERMANS WHARF INNER HARBOR,BL700,CO,9AM--12PM
COCONUT CAFå,BL736,AL,9AM--12PM
FOXY LADY,BL478,HI,7AM--11PM
GENTLEMEN OF CHARISMA,BL122,CA,8AM--12PM
ANNABEL LEE TAVERN,BL555,FL,6AM--12PM
FRAZIER'S ON THE AVENUE,BL086,ME,7AM--12PM
BELT STREET PUB,BL592,NE,8AM--11PM
CHARLES ST DELI,BL443,HI,8AM--12PM
DAILY  GRIND  COFFEE  HOUSE,BL010,TN,7AM--12PM
DELLA ROSE'S 2 CANTON CROSSING,BL320,CT,7AM--11PM
CLIPPER MILL INN,BL536,AR,9AM--11PM
BURKE'S CAFå/ COMEDY FACTORY,BL709,MT,9AM--12PM
BLUE SKY RESTAURANT,BL480,NE,8AM--11PM
CINCO DE MAYO,BL700,NE,8AM--12PM
ANGLE INN,BL876,IL,9AM--12PM
CIAO BELLA RESTAURANT,BL480,PA,7AM--11PM
CHUCK'S,BL108,GA,10AM--12PM
CANTON'S PEARLS,BL850,MO,7AM--12PM
BURGER KING #1950,BL655,KS,7AM--12PM
BUFFALO WINGGS AND BEER,BL322,FL,7AM--12PM
BARNES & NOBLE BOOKSELLERS,BL031,SD,8AM--11PM
COLD STONE CREAMERY #1479,BL837,OR,10AM--12PM
EL RINCONCITO PERUANO,BL747,MI,7AM--11PM
BOB'S BAR,BL656,MA,10AM--12PM
EDENS LOUNGE,BL316,IL,8AM--12PM
DUNKIN DONUTS & BASKIN ROBBINS,BL233,LA,9AM--11PM
FLETCHERS,BL805,SC,8AM--11PM
CAMERON'S SEAFOOD,BL134,MS,9AM--11PM
438 CLUB,BL698,CT,9AM--11PM
BLUE CRAB EXPRESS & CAFå INC.,BL878,WV,9AM--11PM
EAT MUST BE FIRST,BL317,MD,9AM--11PM
BIG APPLE TREE CAFå,BL072,WV,9AM--12PM
FOGO DE CHAO,BL571,MT,9AM--11PM
FIVE GUYS FAMOUS BURGERS & FRIES,BL530,IA,7AM--12PM
B.G.'S PUB INCORPORATED,BL230,CA,9AM--11PM
CLUBHOUSE BAR & GRILL,BL139,WY,6AM--11PM
BEST WESTERN TRAVEL PLAZA,BL484,SC,8AM--11PM
ARAMARK FHC SPORTS (BAR 217),BL545,MO,6AM--12PM
CARROLL STATION,BL134,UT,9AM--12PM
BOUILLABAISSE CAFå,BL485,ND,7AM--12PM
FRANK'S PIZZA,BL111,AL,6AM--11PM
CLUB MIAMI,BL564,UT,8AM--11PM
ENRICO'S SPORTS CAFE,BL146,RI,8AM--11PM
BILL'S 60'S & 70'S CLUB,BL657,ME,6AM--12PM
BURGER KING #2610,BL982,WV,9AM--12PM
COSMOPOLITAN BAR & GRILL,BL688,OR,6AM--11PM
BIRCHES RESTAURANT,BL189,TN,8AM--11PM
GEORGE'S CAFETERIA,BL317,AZ,10AM--12PM
CINGHIALE,BL588,AR,9AM--11PM
DUCKY PLEASURE CLUB,BL167,NY,6AM--12PM
CARROLL STATION,BL377,HI,7AM--12PM
DILONE GROCERY & RESTAURANT,BL856,MN,8AM--11PM
BIRCHES RESTAURANT,BL534,CA,9AM--11PM
438 CLUB,BL076,NC,8AM--11PM
EDO SUSHI,BL850,WV,8AM--11PM
CLUB ONE,BL328,NE,6AM--12PM
AUSTIN GRILL,BL813,NC,8AM--12PM
DONNA'S,BL341,NC,9AM--11PM
BRASS MONKEY SALOON,BL976,CO,10AM--12PM
AU BON PAIN,BL545,NH,10AM--11PM
BALTIMORE EAGLE  INC.,BL491,WY,8AM--12PM
A & W RESTAURANT,BL834,MS,8AM--11PM
ABC SUSHI,BL526,FL,7AM--12PM
BREWER'S HILL PUB & GRILL,BL577,AR,9AM--12PM
CANTINA LAS AMERICAS/LA RUMBA,BL057,HI,10AM--12PM
FULTON RESTAURANT,BL317,CO,8AM--12PM
CHINA WOK,BL780,MA,6AM--12PM
AMIGO'S BAR,BL090,CA,10AM--11PM
EASTERN HOUSE RESTAURANT,BL233,NE,6AM--11PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL538,WV,9AM--11PM
CROSSROADS SPORTS PUB & GRILL,BL119,AR,7AM--11PM
ASAHI SUSHI,BL763,MI,9AM--12PM
CEASAR'S DEN,BL478,DC,8AM--11PM
ECLECTIC CAFå,BL010,LA,9AM--11PM
CHINESE KITCHEN,BL108,UT,9AM--12PM
DECADES SPORTS BAR,BL615,PA,7AM--11PM
EDGAR'S INC.--BALTIMORE  MD,BL302,PA,9AM--12PM
CHOPPER'S TAVERN,BL058,MS,6AM--12PM
CINCO DE MAYO,BL085,OR,9AM--12PM
FELL'S POINT CARRYOUT,BL591,MO,9AM--11PM
BOB'S OLDIE'S CAFå,BL999,IL,8AM--11PM
CHINESE KITCHEN,BL036,DC,9AM--12PM
BEACH  BUMS CAFå,BL512,MO,8AM--11PM
BOCCACCIO,BL062,NE,9AM--12PM
azteca de oro,BL300,AL,8AM--12PM
CENTER STAGE,BL618,NY,8AM--11PM
FELL'S POINT CARRYOUT,BL433,MT,8AM--11PM
CHARLES & MADISON  LLC,BL113,RI,8AM--11PM
CURB SHOPPE,BL220,UT,9AM--11PM
EAT MUST BE FIRST,BL012,CO,10AM--11PM
AG & HARP'S,BL020,TN,7AM--11PM
CHARLES ST DELI,BL504,RI,9AM--11PM
BIRDS OF A FEATHER,BL577,NH,7AM--11PM
DEAD FREDDIES,BL229,AL,8AM--12PM
ALLEN RESTAURANT,BL484,CA,7AM--11PM
CLUB MIAMI,BL457,WV,9AM--11PM
CHINA GARDEN,BL634,HI,9AM--11PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL495,MN,7AM--11PM
BOB CUMMINGS PLACE,BL043,DC,6AM--12PM
BARTENDERS,BL530,AZ,8AM--11PM
CALIFORNIA PIZZA KITCHEN,BL242,HI,7AM--11PM
CHARM CITY INN,BL265,KS,9AM--11PM
BERT'S EATS & DRINKS (3103-05),BL874,FL,8AM--11PM
EASTERN HOUSE RESTAURANT,BL864,CT,9AM--11PM
CLAYTON FINE BOOKS & CAFå,BL922,MO,6AM--11PM
EASTERN HOUSE RESTAURANT,BL530,MI,10AM--12PM
CALIFORNIA PIZZA KITCHEN,BL981,CT,8AM--12PM
COCKY LOU'S,BL317,UT,7AM--12PM
CAROLINAS TEX- MEX RESTAURANT,BL534,HI,6AM--11PM
GINGER'S,BL797,OR,7AM--11PM
BALTIMORE BEVERAGE CO. LLC,BL300,AZ,10AM--11PM
AMIGO'S BAR,BL572,AK,8AM--11PM
BOB DELI,BL758,AL,7AM--12PM
GOLDEN WEST CAFå  INC.,BL242,DC,10AM--12PM
CLUB LUZERENE,BL194,MD,7AM--11PM
ARAMARK FHC SPORTS (BAR 217),BL744,CO,8AM--11PM
BELVEDERE TOWERS CAFå,BL263,KS,9AM--12PM
DONNA'S,BL614,null,9AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL047,ME,7AM--11PM
AG & HARP'S,BL689,GA,8AM--11PM
ADMIRAL FELL INN,BL389,CT,7AM--12PM
CAMERON'S SEAFOOD,BL700,NE,8AM--12PM
CHESAPEAKE BAY RESTAURANT,BL084,AL,7AM--12PM
ARAMARK FHC SPORTS (BAR 217),BL534,MO,9AM--12PM
GENTLEMEN OF CHARISMA,BL103,NY,8AM--11PM
AVENUE BAR & LIQUOR,BL941,WV,8AM--11PM
FIVE SEASONS,BL541,CT,9AM--12PM
CANTON'S PEARLS,BL899,CO,10AM--11PM
BYZANTIO CAFå,BL713,NH,10AM--12PM
CHINESE DELIGHT,BL091,PA,8AM--12PM
AKBAR RESTAURANT,BL468,NH,6AM--11PM
DUCKY PLEASURE CLUB,BL658,ME,9AM--12PM
BAY CAFE,BL636,AL,9AM--12PM
CANTON'S PEARLS,BL526,HI,8AM--11PM
BLARNEY STONE INN,BL495,FL,6AM--12PM
743 S. MONTFORD INC.,BL555,SC,8AM--12PM
DUDA'S TAVERN,BL937,SD,9AM--12PM
BLUE POINT CRAB HOUSE (seasonal),BL296,MN,8AM--12PM
DASH SEAFOOD & CHICKEN,BL610,KS,6AM--11PM
CHIPOTLE MEXICAN GRILL,BL899,UT,9AM--12PM
BROOKEY'S,BL145,GA,9AM--12PM
ARAMARK/PNC,BL842,MD,7AM--12PM
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,BL316,MO,9AM--11PM
BIG BAD WOLF'S HOUSE OF BARBEQUE,BL842,DE,7AM--11PM
CHIPOTLE MEXICAN GRILL,BL173,IL,7AM--11PM
ARAMARK FHC SPORTS (BAR 252-253),BL541,HI,9AM--11PM
fraternal order of police baltimore city lodge #3,BL486,UT,6AM--12PM
ADMIRAL FELL INN,BL848,IL,7AM--12PM
EL RECODO  INC.,BL361,AL,9AM--11PM
BROOKLYN BOOSTER CLUB,BL485,HI,8AM--11PM
EICHENKRANZ RESTAURANT,BL623,MA,6AM--11PM
ANNS AT LEXINGTON PLACE,BL142,WV,7AM--11PM
DUNKIN DONUTS/BASKIN ROBBINS,BL577,CO,7AM--11PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL696,MI,6AM--12PM
FANTASIES,BL461,CT,8AM--11PM
ABACROMBIE FINE FOODS,BL032,NE,10AM--12PM
null,BL538,AR,9AM--11PM
BALTIMORE DELIGHT RESTAURANT,BL176,FL,8AM--12PM
BILL'S CAFE,BL907,UT,8AM--12PM
ARAMARK FHC SPORTS (BAR 244),BL460,SD,8AM--12PM
BERT'S EATS & DRINKS (3103-05),BL370,MD,7AM--12PM
AMERICAN LEIGON FORT MCHENRY POST #133,BL941,AL,9AM--12PM
BOULDER GARDEN CAFE,BL572,AK,9AM--11PM
CIRCUS BAR & RESTAURANT,BL659,CO,10AM--12PM
BEST WESTERN TRAVEL PLAZA,BL922,MO,6AM--11PM
COLD STONE CREAMERY# 102,BL894,CA,9AM--11PM
CAFE' INTERNATIONALE,BL744,CA,10AM--11PM
FLETCHERS,BL317,NY,9AM--12PM
FANTASIES,BL062,MT,7AM--12PM
asian taste,BL593,MI,8AM--12PM
FEDERAL HILL LOUNGE,BL461,AL,10AM--12PM
CHARLES RESTAURANT  &  CARRYOUT,BL544,PA,6AM--12PM
GIBSON'S,BL317,TN,7AM--11PM
CURTIS BAY ATHLETIC CLUB,BL413,CT,7AM--12PM
BLUE CRAB EXPRESS & CAFå INC.,BL515,GA,7AM--11PM
CHIC & TROUT (1007-09),BL001,MN,6AM--11PM
CHARLES & MADISON  LLC,BL122,NE,7AM--11PM
CHARLESTON,BL877,DC,10AM--12PM
CHIMES CAFå,BL141,WY,8AM--11PM
ARCH SOCIAL CLUB,BL700,NC,6AM--12PM
B.G.'S PUB INCORPORATED,BL322,MN,10AM--12PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL909,CA,9AM--11PM
B & O CAFE,BL472,ME,6AM--12PM
BURKE'S CAFE  INCORPORATED,BL583,VT,7AM--12PM
ASAHI SUSHI,BL000,NY,9AM--11PM
DOWNTOWN SPORTS EXCHANGE,BL258,UT,9AM--11PM
AMIGO'S BAR,BL501,HI,9AM--11PM
COLD STONE CREAMERY# 102,BL913,NE,10AM--11PM
BALTIMORE BEVERAGE CO. -STARBUCKS,BL462,WV,7AM--12PM
CARL'S LITTLE HOUSE,BL146,HI,9AM--12PM
BUSTER'S PUB,BL402,OR,7AM--11PM
BLUE CRAB EXPRESS & CAFå INC.,BL638,NY,10AM--11PM
DESERT CAFE'(1605-07),BL555,RI,7AM--11PM
DEAD END SALOON,BL709,AZ,8AM--11PM
CREPE DU JOUR,BL709,HI,7AM--12PM
CHINESE DELIGHT,BL714,MI,10AM--12PM
FIELDER'S TAVERN,BL719,DE,8AM--11PM
CAMDEN PUB,BL583,WV,8AM--11PM
CROSSROADS SPORTS PUB & GRILL,BL288,TN,9AM--11PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL616,NE,7AM--12PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL515,MN,8AM--11PM
DOUGHERTY'S,BL484,CT,9AM--11PM
ARAMARK FHC SPORTS (BAR 217),BL386,DC,8AM--11PM
EDENS LOUNGE,BL660,MS,9AM--11PM
BALTIMORE COUNTRY CLUB,BL860,WI,8AM--12PM
CARROLL STATION,BL512,ME,10AM--12PM
ARCOS,BL151,KS,7AM--12PM
CLUB INTERNATIONAL,BL058,FL,7AM--12PM
BEDROCK,BL862,CO,6AM--12PM
BROOKLYN PLEASURE CLUB,BL851,CO,10AM--11PM
BOCCACCIO,BL531,DE,7AM--12PM
CENTER CLUB  INCORPORATED,BL860,NH,8AM--12PM
CHOCOLATEA,BL865,OK,8AM--12PM
AU BON PAIN,BL808,MO,7AM--11PM
COLD STONE CREAMERY# 102,BL810,ME,7AM--11PM
FLAMERS BURGER & CHICKEN,BL111,AZ,10AM--11PM
AVENUE BAR & LIQUOR,BL332,MN,7AM--11PM
BALTIMORE BEVERAGE CO. -STARBUCKS,BL472,MO,9AM--12PM
BELVEDERE TOWERS CAFå,BL688,IA,9AM--11PM
BYZANTIO CAFå,BL541,WI,6AM--12PM
CHIU'S SUSHI JAPANESE RESTAURANT,BL484,NE,8AM--12PM
BOCCACCIO,BL991,UT,7AM--11PM
BLU BAMBU-FRESH AISIAN EATS,BL558,KS,7AM--12PM
3 MILES HOUSE  INC.,BL250,CO,9AM--11PM
BUSTER'S PUB,BL166,KS,6AM--11PM
BRENDAL  INC.,BL719,null,9AM--11PM
DONRITZ BAR & GRILL,BL593,MT,9AM--12PM
DANCING PIGS,BL057,VA,9AM--12PM
FRIEND'S RESTAURANT AND SPIRITS,BL228,DE,8AM--11PM
BIRDS OF A FEATHER,BL028,null,10AM--11PM
FREDERICK STATION SALOON,BL904,TN,7AM--11PM
GAFFNEY'S BACK FIN ( seasonal),BL638,IL,8AM--12PM
EAST BALTIMORE ENTERPRISE,BL229,VT,8AM--11PM
CERIELLO FINE FOODS,BL909,IN,9AM--11PM
BLARNEY STONE PUB,BL091,MD,9AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL688,WV,7AM--11PM
BALTMORE KICKERS,BL538,TN,6AM--11PM
DOWN THE HATCH,null,MS,9AM--12PM
CARL REFEERS BAR & GRILL,BL709,CT,8AM--11PM
ACROPOLIS RESTAURANT,BL930,MO,10AM--12PM
DILONE GROCERY & RESTAURANT,BL086,ME,10AM--12PM
DAILY  GRIND  COFFEE  HOUSE,BL102,AL,9AM--12PM
EL RANCHO BLANCO,BL103,NY,8AM--12PM
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,BL119,VA,9AM--11PM
DEEP SIDE RESTAURANT & CAFå,BL894,VA,10AM--12PM
CHINATOWN CAFå,BL145,AK,8AM--11PM
GOLDEN NUGGET LOUNGE,BL231,HI,7AM--12PM
DASH SEAFOOD & CHICKEN,BL489,WV,9AM--11PM
CHIPOTLE,BL640,CA,6AM--12PM
CLUB HOUSE BAR & GRILL,BL772,WV,7AM--11PM
BALTIMORE DELIGHT RESTAURANT,BL921,FL,7AM--11PM
CHARLES & MADISON  LLC,BL765,CO,8AM--12PM
COOPER'S LIQUOR (568-570),BL471,MI,9AM--11PM
BALTIMORE PHO,BL576,CO,6AM--12PM
BLUE JEAN CAFE,BL302,AL,6AM--11PM
courthouse east caf‰Û_',BL296,NC,10AM--12PM
ACROPOLIS RESTAURANT,BL848,CT,7AM--11PM
743 S. MONTFORD INC.,BL146,KS,7AM--12PM
BALTIMORE EAGLE  INC.,BL951,HI,7AM--11PM
ANGELINA'S,BL311,NE,7AM--12PM
FANTASY CAFå,BL183,ME,6AM--12PM
BLUE JEAN CAFE,BL622,NC,10AM--12PM
BLUE POINT CRAB HOUSE (seasonal),BL591,LA,7AM--12PM
BALTIMORE COUNTRY CLUB,BL374,ME,8AM--12PM
BOB'S BAR,BL842,OR,8AM--11PM
ABC SUSHI,BL743,WY,7AM--11PM
CINGHIALE,BL780,AK,8AM--11PM
DOMINO SUGAR CAFATERIA OPERATION # 65227,BL227,MA,6AM--11PM
CLUB HUSH,BL010,AZ,8AM--12PM
CAFE MANET,BL377,MS,9AM--11PM
DUKEM ETHIOPIAN RESTAURANT,BL852,HI,8AM--11PM
FRED & MARGIE'S INN,BL108,MA,8AM--11PM
CAFE MANET,BL991,TN,9AM--12PM
GOOD TIMES BAR AND LOUNGE,BL479,HI,8AM--11PM
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,BL544,KS,8AM--12PM
COLD STONE CREAMERY #1479,BL364,MA,8AM--12PM
BRASS MONKEY SALOON,BL954,NV,8AM--12PM
ARAMARK FHC SPORTS (BAR 252-253),BL946,ME,9AM--12PM
FANTASY CAFå,BL338,UT,6AM--12PM
CAMDEN PUB,BL506,HI,7AM--12PM
CLUB HOUSE BAR & GRILL,BL530,IL,10AM--12PM
BIG KAHUNA CANTINA,BL577,DC,7AM--11PM
GARDEN BEEF & BEER,BL544,MI,9AM--11PM
GALLERY CAFå,BL072,NY,8AM--12PM
ARAMARK FHC SPORTS  (MAIN KITCHEN),BL090,SD,7AM--11PM
CIRCUS BAR & RESTAURANT,BL484,HI,8AM--12PM
DUDA'S TAVERN,BL127,UT,6AM--11PM
CASTAWAY'S BAR &  GRILL,BL800,ND,7AM--11PM
DIZZY  IZZY,BL316,DE,9AM--12PM
FORT CHARLES PUB,BL655,MS,8AM--11PM
DUTCH POT CAFå,BL851,WV,10AM--12PM
5-MILE HOUSE,BL090,WV,7AM--11PM
CAFå LATTE 'DA,BL218,UT,7AM--11PM
CITY LIMITS SPORTS BAR,BL821,MN,7AM--12PM
GINGER'S,BL512,WV,7AM--11PM
CANTON'S PORTSIDE TAVERN,BL592,MD,9AM--11PM
G & A RESTAURANT,BL320,CA,6AM--12PM
CEDONIA INN,BL480,AZ,7AM--12PM
CLUB LUZERENE,BL211,CA,8AM--11PM
CRAZY LIL'S,BL827,null,9AM--11PM
AMBROSIA'S,BL384,MA,10AM--11PM
CALIFORNIA PIZZA KITCHEN,BL914,MD,9AM--11PM
CHIC & TROUT (1007-09),BL444,CT,9AM--12PM
ENRICO'S SPORTS CAFE,BL713,AL,10AM--12PM
CALIFORNIA PIZZA KITCHEN,BL141,MA,6AM--12PM
BALTIMORE EAGLE  INC.,BL337,AR,9AM--12PM
FANTASIES,BL656,DC,7AM--12PM
BELT STREET PUB,BL634,AK,9AM--11PM
CARROLL STATION,BL534,CO,8AM--11PM
DOWNTOWN SPORTS EXCHANGE,BL660,HI,6AM--12PM
CHIAPPARELLI'S RESTAURANT,BL894,ME,9AM--12PM
BREWER'S HILL PUB & GRILL,BL700,RI,10AM--12PM
CHUBBIES CLUB,BL137,CO,9AM--11PM
DILONE GROCERY & RESTAURANT,BL166,SD,7AM--11PM
CAMERON'S SEAFOOD,BL930,MA,8AM--11PM
DARKER THAN BLUE,BL038,AL,8AM--12PM
CHINA WOK,BL024,MO,7AM--11PM
CAFå AZAFRAN,BL510,NY,10AM--11PM
BIRCHES RESTAURANT,BL140,FL,10AM--12PM
CHEERLEADERS SPORTS BAR,BL921,SD,10AM--11PM
CHESAPEAKE WINE COMPANY,BL655,DE,7AM--11PM
BIG KAHUNA CANTINA,BL583,NH,7AM--12PM
ARCH SOCIAL CLUB,BL174,AK,9AM--11PM
CIAO BELLA RESTAURANT,BL585,AZ,9AM--11PM
BLUEHOUSE,BL484,UT,9AM--12PM
DIONYSUS RESTAURANT & LOUNGE,BL014,AZ,9AM--11PM
CHEF PAOLINO,BL971,MT,6AM--12PM
CITY LIMITS SPORTS BAR,BL486,WV,6AM--12PM
COTTON CLUB,BL676,MO,7AM--12PM
GOLDEN NUGGET,BL538,NV,10AM--12PM
CORRADO'S CAFå,BL526,DE,8AM--12PM
COMMON GROUND,BL963,NC,7AM--11PM
BLACKTIE SERVICES,BL576,WV,9AM--11PM
BLUE JEAN CAFE,BL791,MD,10AM--12PM
babalu grill,BL105,UT,8AM--11PM
EAST BALTIMORE ENTERPRISE,BL296,WV,7AM--11PM
CLUBHOUSE BAR & GRILL,BL058,HI,10AM--12PM
EVERYDAY'S LLC,BL485,IL,8AM--11PM
BLARNEY STONE PUB,BL461,MI,7AM--12PM
DING HOW RESTAURANT,BL109,FL,8AM--11PM
EICHENKRANZ RESTAURANT,BL714,MO,8AM--11PM
CHINESE DELIGHT,BL407,FL,8AM--12PM
DUCK'S BLACK SATIN LOUNGE,BL572,GA,10AM--11PM
CHARM CITY INN,BL640,NC,7AM--12PM
blue island malaysian cuisine,BL538,CA,8AM--11PM
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,BL134,AZ,7AM--11PM
CHARLIE & DEE RESTAURANT,BL421,NY,8AM--11PM
CAFå AZAFRAN,BL583,HI,8AM--12PM
3 KINGS,BL389,HI,6AM--12PM
DONNA'S CHARLES VILLAGE  LLC,BL976,HI,7AM--12PM
CENTER CLUB  INCORPORATED,BL747,ME,7AM--11PM
fraternal order of police baltimore city lodge #3,BL288,FL,8AM--11PM
BANJARA,BL510,TN,7AM--11PM
COSI  INC. # 157,BL614,PA,8AM--12PM
ARCOS,BL553,AZ,10AM--11PM
5-MILE HOUSE,BL393,KS,9AM--11PM
CHEERLEADERS SPORTS BAR,BL322,CO,6AM--12PM
DOUGHERTY'S,BL919,KS,10AM--11PM
CAPTAIN LARRY'S,BL676,WI,6AM--11PM
FLETCHERS,BL937,IL,9AM--12PM
CHUNG MEE RESTAURANT,BL504,ME,10AM--12PM
ANNABEL LEE TAVERN,BL831,MA,8AM--12PM
CARIBOU COFFEE,BL495,CT,9AM--11PM
COFFEE LAND,BL158,NC,9AM--11PM
AMERICAN FOOD SERVICE,BL592,GA,7AM--11PM
FIELDS OLD TRAIL,BL341,ND,9AM--12PM
GIBSON'S,BL545,NE,8AM--12PM
BALTIMORE COUNTRY CLUB,BL972,MS,9AM--11PM
CAFå GOURMET,BL801,MO,9AM--12PM
EXCLUSIVE,BL553,MI,8AM--11PM
CLIPPER MILL INN,BL461,KS,7AM--12PM
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,BL489,MO,6AM--12PM
EICHENKRANZ RESTAURANT,BL471,IL,8AM--11PM
BOUILLABAISSE CAFå,BL361,ME,8AM--12PM
BLUE AGAVE RESTAURANT AND TEQUILERIA,BL880,KS,7AM--11PM
CLUBHOUSE BAR,BL134,MT,8AM--11PM
CAFE' INTERNATIONALE,BL193,null,8AM--12PM
